,Statistic,Month,Industry.Sector.NACE.Rev.2,value
0,Industrial Price Index (Excl VAT),2015 January,Food products (10),99.5
1,Industrial Price Index (Excl VAT),2015 January,Meat and meat products (101),95.9
2,Industrial Price Index (Excl VAT),2015 January,"Fish, crustaceans and molluscs (102)",97.8
3,Industrial Price Index (Excl VAT),2015 January,Fruit and vegetables (103),98.4
4,Industrial Price Index (Excl VAT),2015 January,"Vegetable, animal oils and fats (104)",95.3
5,Industrial Price Index (Excl VAT),2015 January,Dairy products (105),107.6
6,Industrial Price Index (Excl VAT),2015 January,"Grain mill and starch products, prepared animal feeds (106,109)",97.7
7,Industrial Price Index (Excl VAT),2015 January,Bakery and farinaceous products (107),96.7
8,Industrial Price Index (Excl VAT),2015 January,Other food products (108),100.1
9,Industrial Price Index (Excl VAT),2015 January,Manufacture of beverages (11),97.6
10,Industrial Price Index (Excl VAT),2015 January,Tobacco products (12),
11,Industrial Price Index (Excl VAT),2015 January,Textiles (13),99.8
12,Industrial Price Index (Excl VAT),2015 January,Wearing apparel (14),101.1
13,Industrial Price Index (Excl VAT),2015 January,Leather and related products (15),101.0
14,Industrial Price Index (Excl VAT),2015 January,"Wood and wood products, except furniture (16)",99.0
15,Industrial Price Index (Excl VAT),2015 January,Paper and paper products (17),99.1
16,Industrial Price Index (Excl VAT),2015 January,Printing and reproduction of recorded media (18),97.5
17,Industrial Price Index (Excl VAT),2015 January,Coke and refined petroleum products (19),
18,Industrial Price Index (Excl VAT),2015 January,Chemicals and chemical products (20),99.9
19,Industrial Price Index (Excl VAT),2015 January,Basic pharmaceutical products and preparations (21),
20,Industrial Price Index (Excl VAT),2015 January,Rubber and plastic products (22),100.8
21,Industrial Price Index (Excl VAT),2015 January,Other non-metallic mineral products (23),96.6
22,Industrial Price Index (Excl VAT),2015 January,Basic metals (24),97.7
23,Industrial Price Index (Excl VAT),2015 January,"Fabricated metal products, except machinery and equipment (25)",97.9
24,Industrial Price Index (Excl VAT),2015 January,"Computer, electronic and optical products (26)",
25,Industrial Price Index (Excl VAT),2015 January,Electrical equipment (27),83.7
26,Industrial Price Index (Excl VAT),2015 January,Machinery and equipment n.e.c. (28),
27,Industrial Price Index (Excl VAT),2015 January,"Motor vehicles, trailers and semi-trailers (29)",99.8
28,Industrial Price Index (Excl VAT),2015 January,Other transport equipment (30),99.8
29,Industrial Price Index (Excl VAT),2015 January,Furniture (31),98.9
30,Industrial Price Index (Excl VAT),2015 January,Other manufacturing (32),
31,Industrial Price Index (Excl VAT),2015 January,Mining and quarrying (05 to 09),99.4
32,Industrial Price Index (Excl VAT),2015 January,Transportable goods industries (05 to 33),97.0
33,Industrial Price Index (Excl VAT),2015 January,"Food products, beverages and tobacco (10 to 12)",99.2
34,Industrial Price Index (Excl VAT),2015 January,"Manufacturing, excluding food (11 to 33)",96.6
35,Industrial Price Index (Excl VAT),2015 January,Intermediate goods (except energy),
36,Industrial Price Index (Excl VAT),2015 January,Capital goods,
37,Industrial Price Index (Excl VAT),2015 January,Durable consumer goods,
38,Industrial Price Index (Excl VAT),2015 January,Non-durable consumer goods,
39,Industrial Price Index (Excl VAT),2015 January,Manufacturing industries (home sales),100.2
40,Industrial Price Index (Excl VAT),2015 January,Manufacturing industries (export sales),96.8
